sitrep,version,report_date,era,indicator_id,status,n_values,n_nd,places
1,1,2026-05-14,narrative,admissions_24h,absent,0,0,""
1,1,2026-05-14,narrative,admissions_cumulative,absent,0,0,""
1,1,2026-05-14,narrative,beds_total,absent,0,0,""
1,1,2026-05-14,narrative,exits_24h,absent,0,0,""
1,1,2026-05-14,narrative,facility_closed,absent,0,0,""
1,1,2026-05-14,narrative,facility_expanded,absent,0,0,""
1,1,2026-05-14,narrative,facility_incident,absent,0,0,""
1,1,2026-05-14,narrative,facility_saturated,absent,0,0,""
1,1,2026-05-14,narrative,occupancy_rate,absent,0,0,""
1,1,2026-05-14,narrative,patients_confirmed,absent,0,0,""
1,1,2026-05-14,narrative,patients_isolated,absent,0,0,""
1,1,2026-05-14,narrative,patients_start_day,absent,0,0,""
1,1,2026-05-14,narrative,patients_suspect,absent,0,0,""
2,1,2026-05-17,narrative,admissions_24h,absent,0,0,""
2,1,2026-05-17,narrative,admissions_cumulative,absent,0,0,""
2,1,2026-05-17,narrative,beds_total,absent,0,0,""
2,1,2026-05-17,narrative,exits_24h,absent,0,0,""
2,1,2026-05-17,narrative,facility_closed,absent,0,0,""
2,1,2026-05-17,narrative,facility_expanded,absent,0,0,""
2,1,2026-05-17,narrative,facility_incident,absent,0,0,""
2,1,2026-05-17,narrative,facility_saturated,absent,0,0,""
2,1,2026-05-17,narrative,occupancy_rate,absent,0,0,""
2,1,2026-05-17,narrative,patients_confirmed,absent,0,0,""
2,1,2026-05-17,narrative,patients_isolated,absent,0,0,""
2,1,2026-05-17,narrative,patients_start_day,absent,0,0,""
2,1,2026-05-17,narrative,patients_suspect,absent,0,0,""
4,1,2026-05-19,narrative,admissions_24h,absent,0,0,""
4,1,2026-05-19,narrative,admissions_cumulative,absent,0,0,""
4,1,2026-05-19,narrative,beds_total,absent,0,0,""
4,1,2026-05-19,narrative,exits_24h,absent,0,0,""
4,1,2026-05-19,narrative,facility_closed,absent,0,0,""
4,1,2026-05-19,narrative,facility_expanded,absent,0,0,""
4,1,2026-05-19,narrative,facility_incident,absent,0,0,""
4,1,2026-05-19,narrative,facility_saturated,absent,0,0,""
4,1,2026-05-19,narrative,occupancy_rate,absent,0,0,""
4,1,2026-05-19,narrative,patients_confirmed,absent,0,0,""
4,1,2026-05-19,narrative,patients_isolated,absent,0,0,""
4,1,2026-05-19,narrative,patients_start_day,absent,0,0,""
4,1,2026-05-19,narrative,patients_suspect,absent,0,0,""
5,1,2026-05-19,narrative,admissions_24h,absent,0,0,""
5,1,2026-05-19,narrative,admissions_cumulative,absent,0,0,""
5,1,2026-05-19,narrative,beds_total,absent,0,0,""
5,1,2026-05-19,narrative,exits_24h,absent,0,0,""
5,1,2026-05-19,narrative,facility_closed,absent,0,0,""
5,1,2026-05-19,narrative,facility_expanded,absent,0,0,""
5,1,2026-05-19,narrative,facility_incident,absent,0,0,""
5,1,2026-05-19,narrative,facility_saturated,absent,0,0,""
5,1,2026-05-19,narrative,occupancy_rate,absent,0,0,""
5,1,2026-05-19,narrative,patients_confirmed,absent,0,0,""
5,1,2026-05-19,narrative,patients_isolated,absent,0,0,""
5,1,2026-05-19,narrative,patients_start_day,absent,0,0,""
5,1,2026-05-19,narrative,patients_suspect,absent,0,0,""
6,1,2026-05-20,narrative,admissions_24h,absent,0,0,""
6,1,2026-05-20,narrative,admissions_cumulative,absent,0,0,""
6,1,2026-05-20,narrative,beds_total,absent,0,0,""
6,1,2026-05-20,narrative,exits_24h,absent,0,0,""
6,1,2026-05-20,narrative,facility_closed,absent,0,0,""
6,1,2026-05-20,narrative,facility_expanded,absent,0,0,""
6,1,2026-05-20,narrative,facility_incident,absent,0,0,""
6,1,2026-05-20,narrative,facility_saturated,absent,0,0,""
6,1,2026-05-20,narrative,occupancy_rate,absent,0,0,""
6,1,2026-05-20,narrative,patients_confirmed,absent,0,0,""
6,1,2026-05-20,narrative,patients_isolated,absent,0,0,""
6,1,2026-05-20,narrative,patients_start_day,absent,0,0,""
6,1,2026-05-20,narrative,patients_suspect,absent,0,0,""
7,1,2026-05-21,narrative,admissions_24h,absent,0,0,""
7,1,2026-05-21,narrative,admissions_cumulative,absent,0,0,""
7,1,2026-05-21,narrative,beds_total,absent,0,0,""
7,1,2026-05-21,narrative,exits_24h,absent,0,0,""
7,1,2026-05-21,narrative,facility_closed,absent,0,0,""
7,1,2026-05-21,narrative,facility_expanded,absent,0,0,""
7,1,2026-05-21,narrative,facility_incident,absent,0,0,""
7,1,2026-05-21,narrative,facility_saturated,absent,0,0,""
7,1,2026-05-21,narrative,occupancy_rate,absent,0,0,""
7,1,2026-05-21,narrative,patients_confirmed,absent,0,0,""
7,1,2026-05-21,narrative,patients_isolated,absent,0,0,""
7,1,2026-05-21,narrative,patients_start_day,absent,0,0,""
7,1,2026-05-21,narrative,patients_suspect,absent,0,0,""
8,1,2026-05-22,narrative,admissions_24h,absent,0,0,""
8,1,2026-05-22,narrative,admissions_cumulative,absent,0,0,""
8,1,2026-05-22,narrative,beds_total,absent,0,0,""
8,1,2026-05-22,narrative,exits_24h,absent,0,0,""
8,1,2026-05-22,narrative,facility_closed,absent,0,0,""
8,1,2026-05-22,narrative,facility_expanded,absent,0,0,""
8,1,2026-05-22,narrative,facility_incident,absent,0,0,""
8,1,2026-05-22,narrative,facility_saturated,absent,0,0,""
8,1,2026-05-22,narrative,occupancy_rate,absent,0,0,""
8,1,2026-05-22,narrative,patients_confirmed,absent,0,0,""
8,1,2026-05-22,narrative,patients_isolated,absent,0,0,""
8,1,2026-05-22,narrative,patients_start_day,absent,0,0,""
8,1,2026-05-22,narrative,patients_suspect,absent,0,0,""
9,1,2026-05-23,narrative,admissions_24h,absent,0,0,""
9,1,2026-05-23,narrative,admissions_cumulative,absent,0,0,""
9,1,2026-05-23,narrative,beds_total,absent,0,0,""
9,1,2026-05-23,narrative,exits_24h,absent,0,0,""
9,1,2026-05-23,narrative,facility_closed,absent,0,0,""
9,1,2026-05-23,narrative,facility_expanded,absent,0,0,""
9,1,2026-05-23,narrative,facility_incident,absent,0,0,""
9,1,2026-05-23,narrative,facility_saturated,absent,0,0,""
9,1,2026-05-23,narrative,occupancy_rate,absent,0,0,""
9,1,2026-05-23,narrative,patients_confirmed,absent,0,0,""
9,1,2026-05-23,narrative,patients_isolated,absent,0,0,""
9,1,2026-05-23,narrative,patients_start_day,absent,0,0,""
9,1,2026-05-23,narrative,patients_suspect,absent,0,0,""
10,1,2026-05-24,narrative,admissions_24h,absent,0,0,""
10,1,2026-05-24,narrative,admissions_cumulative,absent,0,0,""
10,1,2026-05-24,narrative,beds_total,absent,0,0,""
10,1,2026-05-24,narrative,exits_24h,absent,0,0,""
10,1,2026-05-24,narrative,facility_closed,absent,0,0,""
10,1,2026-05-24,narrative,facility_expanded,absent,0,0,""
10,1,2026-05-24,narrative,facility_incident,reported,1,0,ct-rwampara
10,1,2026-05-24,narrative,facility_saturated,absent,0,0,""
10,1,2026-05-24,narrative,occupancy_rate,absent,0,0,""
10,1,2026-05-24,narrative,patients_confirmed,absent,0,0,""
10,1,2026-05-24,narrative,patients_isolated,absent,0,0,""
10,1,2026-05-24,narrative,patients_start_day,absent,0,0,""
10,1,2026-05-24,narrative,patients_suspect,absent,0,0,""
11,1,2026-05-25,narrative,admissions_24h,absent,0,0,""
11,1,2026-05-25,narrative,admissions_cumulative,absent,0,0,""
11,1,2026-05-25,narrative,beds_total,absent,0,0,""
11,1,2026-05-25,narrative,exits_24h,absent,0,0,""
11,1,2026-05-25,narrative,facility_closed,absent,0,0,""
11,1,2026-05-25,narrative,facility_expanded,absent,0,0,""
11,1,2026-05-25,narrative,facility_incident,absent,0,0,""
11,1,2026-05-25,narrative,facility_saturated,absent,0,0,""
11,1,2026-05-25,narrative,occupancy_rate,absent,0,0,""
11,1,2026-05-25,narrative,patients_confirmed,absent,0,0,""
11,1,2026-05-25,narrative,patients_isolated,absent,0,0,""
11,1,2026-05-25,narrative,patients_start_day,absent,0,0,""
11,1,2026-05-25,narrative,patients_suspect,absent,0,0,""
12,1,2026-05-26,narrative,admissions_24h,absent,0,0,""
12,1,2026-05-26,narrative,admissions_cumulative,absent,0,0,""
12,1,2026-05-26,narrative,beds_total,absent,0,0,""
12,1,2026-05-26,narrative,exits_24h,absent,0,0,""
12,1,2026-05-26,narrative,facility_closed,absent,0,0,""
12,1,2026-05-26,narrative,facility_expanded,absent,0,0,""
12,1,2026-05-26,narrative,facility_incident,absent,0,0,""
12,1,2026-05-26,narrative,facility_saturated,absent,0,0,""
12,1,2026-05-26,narrative,occupancy_rate,absent,0,0,""
12,1,2026-05-26,narrative,patients_confirmed,absent,0,0,""
12,1,2026-05-26,narrative,patients_isolated,absent,0,0,""
12,1,2026-05-26,narrative,patients_start_day,absent,0,0,""
12,1,2026-05-26,narrative,patients_suspect,absent,0,0,""
12,2,2026-05-26,narrative,admissions_24h,absent,0,0,""
12,2,2026-05-26,narrative,admissions_cumulative,absent,0,0,""
12,2,2026-05-26,narrative,beds_total,absent,0,0,""
12,2,2026-05-26,narrative,exits_24h,absent,0,0,""
12,2,2026-05-26,narrative,facility_closed,absent,0,0,""
12,2,2026-05-26,narrative,facility_expanded,absent,0,0,""
12,2,2026-05-26,narrative,facility_incident,absent,0,0,""
12,2,2026-05-26,narrative,facility_saturated,absent,0,0,""
12,2,2026-05-26,narrative,occupancy_rate,absent,0,0,""
12,2,2026-05-26,narrative,patients_confirmed,absent,0,0,""
12,2,2026-05-26,narrative,patients_isolated,absent,0,0,""
12,2,2026-05-26,narrative,patients_start_day,absent,0,0,""
12,2,2026-05-26,narrative,patients_suspect,absent,0,0,""
13,1,2026-05-27,narrative,admissions_24h,absent,0,0,""
13,1,2026-05-27,narrative,admissions_cumulative,absent,0,0,""
13,1,2026-05-27,narrative,beds_total,absent,0,0,""
13,1,2026-05-27,narrative,exits_24h,absent,0,0,""
13,1,2026-05-27,narrative,facility_closed,absent,0,0,""
13,1,2026-05-27,narrative,facility_expanded,absent,0,0,""
13,1,2026-05-27,narrative,facility_incident,reported,1,0,ct-rwampara
13,1,2026-05-27,narrative,facility_saturated,absent,0,0,""
13,1,2026-05-27,narrative,occupancy_rate,absent,0,0,""
13,1,2026-05-27,narrative,patients_confirmed,absent,0,0,""
13,1,2026-05-27,narrative,patients_isolated,absent,0,0,""
13,1,2026-05-27,narrative,patients_start_day,absent,0,0,""
13,1,2026-05-27,narrative,patients_suspect,absent,0,0,""
14,1,2026-05-28,narrative,admissions_24h,absent,0,0,""
14,1,2026-05-28,narrative,admissions_cumulative,absent,0,0,""
14,1,2026-05-28,narrative,beds_total,absent,0,0,""
